	CFU_E_1	CFU_E_2	CFU_E_3	Pro_E_1	Pro_E_2	Pro_E_3	Int_E_1	Int_E_2	Int_E_3	Late_E_1	Late_E_2	Late_E_3
HSD17B4	5.90904775265299	6.57097912490846	6.40327440647735	6.60730957837908	7.43527315429627	7.09481583952103	7.92793513609122	7.36163056281155	7.5870341832685	4.0822522224762	2.27072798011953	3.70873328032811
HSD17B6	1.05401129125254	1.11338790252894	1.052416722635	1.04665279567014	1.05238123717298	1.0511383940007	1.38250205437822	1.24972632356856	1.33036541457246	1.2309552711494	1.05619451231805	1.16860739817072
HSD17B8	1.85998248743246	1.77262273665074	1.94370428540841	2.27323796598162	2.23961511904215	2.21491774090067	1.75842938046794	1.88630812763649	1.84140899911401	1.25955892155299	1.1248157329919	1.21364786576628
HSDL2	2.74058422142939	3.74397177812996	3.44875273466821	3.24826695191836	4.36674775272602	3.98336068874688	4.83530471685293	4.30057001887919	3.9896834621794	2.06517758638138	1.36559977479145	1.55312101319415
HSF1	1.71931883883431	1.45212126883374	1.77421755677489	2.03889013119547	1.48451671068938	1.68879026540358	1.43343278040328	1.68996740772684	1.82977693999864	2.01371519301475	1.69492405583051	1.83252953005708
HSF2	1.70897232387587	2.27509122995252	2.21178158005436	1.75572036693447	2.24866813375925	2.18590552992784	2.44657871300315	2.39929731218187	2.41613607756117	1.69050790083073	1.36569847213251	1.60688504954358
HSF2BP	0.98074066567437	0.96632437099531	0.964264856899209	0.966396962723743	0.949862356552537	0.964254919662765	0.995834525077825	0.945112752381563	0.954446190309001	0.941803568697724	0.990250051770297	1.02311671052844
HSF4	1.11497377365153	1.0447931750011	1.05431876548693	1.16339124303009	1.06152311822799	1.06116658808554	1.04362208198533	1.04790304767584	1.04683088097321	1.22542901922954	1.08477087142027	1.09042164862114
HSP90AA1	28.4602204151725	22.4843650244667	20.9732431934538	28.8596425434511	22.1121815704558	21.5384574590493	23.2063972802143	23.2817396689425	19.9050989302439	32.2946543844354	39.6303698630383	28.1919033616861
HSPA12A	0.963405906044212	0.968587599462982	0.92187202837556	0.934543381153136	0.941353898285978	0.980398812742113	0.943958393299568	0.936919036067618	0.947873613238826	0.951361880026519	0.954750097822907	0.978431802352238
HSPA13	1.44084764953789	2.29111040611793	1.84292430452695	1.60291374900769	2.4209703248636	1.70907960447552	3.21090316006667	3.28893710615765	3.08333888432861	4.63198990429596	9.73966896858377	5.93373903124645
HSPA14	4.79337719791374	5.42868298313043	5.02638382761179	4.70919499583849	4.40859309326937	4.38227254537382	4.03451720838981	4.11992836636413	3.90256721704558	1.93069022046561	1.7554201843839	2.06653363699081
HSPA1L	1.20432348978924	1.13397958242618	1.09818337879703	1.14038636109058	1.06954688113	1.08934847382857	1.11952839653351	1.14746765008082	1.13024646596225	1.29375374213082	1.30557122099073	1.39969750918613
HSPA2	1.12749309558054	1.26559715535313	1.22179206283148	1.15612137948443	1.33406261021867	1.32936748571164	1.48388528155506	1.28765386849979	1.34578670751286	1.39246203375143	1.2182761200097	1.36233938800019
HSPA4	6.77848747612783	8.3241190914219	7.38754453386015	6.49030044144953	7.35975606625404	6.71439424793638	4.47966377061382	4.52292958479941	3.53118092678705	3.19234004545766	4.49876926960261	4.10327232100627
HSPA4L	1.19356805255083	1.65291409965139	1.58172747276607	1.55930442348589	1.59988693955015	1.64767806819704	1.50326781243343	1.32720675316352	1.29871050551703	1.00778069427238	0.948082374563127	0.951535557037296
HSPA5	5.96362848676211	6.56754484065274	7.00164466563903	5.53202404724992	6.32390836229671	6.1547549519625	3.05927578771611	3.14958108718596	3.17199240011669	6.33307905186169	14.464256626534	10.9933161236031
HSPA6	1.03130895491481	1.05310988431068	1.07895216940863	1.04956603750518	1.080655883886	1.1508752447485	1.68906463267066	1.73612546629965	2.07972072764585	2.4186092016176	2.21141378312836	2.87317582805417
HSPA9	10.1023708761738	9.88464550118025	10.0655848015841	9.91479298395971	9.45513539794413	9.24858765786276	6.20530942333971	6.45093583855799	7.27296578858286	7.71170467933558	17.9102421765162	13.7399417021557
HSPB1	1.47902985059841	1.59702951236758	2.31679710266632	2.11283187393548	1.78062312959404	2.55450629531019	1.83295796782617	1.57704587521534	2.55365721359706	1.97277089747737	2.05394195796793	2.07380460637771
HSPB11	6.74486365544218	7.11474317552156	6.98486428996042	6.44329699093279	6.9538840906114	6.52888637269524	5.63239785698094	5.62581841206799	5.38691513277769	2.7506879288041	2.56132662347898	2.50419431627091
HSPB3	0.932592825877866	0.912943580388286	0.984888855551458	0.910764747910049	0.921515375993205	0.909254304427232	0.931817727987335	0.953205998529495	0.940178602801509	0.994514729238713	1.00705351701359	1.03846510101477
