	CFU_E_1	CFU_E_2	CFU_E_3	Pro_E_1	Pro_E_2	Pro_E_3	Int_E_1	Int_E_2	Int_E_3	Late_E_1	Late_E_2	Late_E_3
NCBP3	2.01459923962959	3.03613771010296	2.79458329403665	2.29179431485004	2.64389687583739	2.5988893350805	3.11528882774671	3.13362602561795	2.96952315348324	1.54182369791456	1.45722296166964	1.39604823978196
NCDN	1.47043386558992	1.1708877629609	1.42402220680859	1.44438295887646	1.1353400729605	1.28422529660453	1.12809928197842	1.11628652479563	1.124126790096	1.10167471068052	1.21197940074218	1.22225913619329
NCF2	1.00297590441994	0.932282205663016	0.897503452793118	1.00770484855239	0.896591602321638	0.935090085129095	1.21292608298887	0.873574374443195	1.04445263637533	1.16514752798952	0.913522168572642	1.14578972558419
NCF4	2.86824465021099	2.17529835084365	2.91774758482234	1.80391348634153	2.00784906099117	2.3660655081872	1.37928712390393	1.26176796414912	1.33038027978646	1.41896798562084	1.16580968976217	1.34336573889414
NCK1	2.51250509513148	2.42049004786947	2.26091533171812	1.99562130543472	3.02654733015782	2.05137543317902	1.5740924206186	1.96208081778883	1.56000799372397	2.17503494699964	2.50268299903374	2.5583942755915
NCK2	1.68246744345396	1.70016003849146	1.6651015778018	1.55263404688716	1.69577788196041	1.55424062581023	1.33394360329836	1.24026633969609	1.22014981205781	1.27506061616524	1.02673133497885	1.1543219166965
NCKAP1	1.8011774218368	2.1792737769584	2.09579137143728	1.77639288288721	2.08094911800104	2.10022543071255	2.01159481483021	2.15484480021737	1.91770017284599	1.18358708049574	1.23172286031569	1.28756772943994
NCKAP1L	1.97498182521189	1.83602172162766	2.00004107531605	1.91732015868756	2.10538286677118	2.03931544985589	2.08139639526807	2.10880850571768	1.90317993198336	1.89429976044238	1.90378435121573	1.85367681665674
NCKIPSD	1.44609585351838	1.33957466993392	1.41201222393352	1.38899177651626	1.29353066118173	1.41715533348443	1.21256200345457	1.24777762713346	1.3790333393008	1.1026000812455	1.01952413275392	1.06961996211784
NCL	6.06507152463056	6.99224441397488	6.32410601517081	5.67705302172821	6.46290877227459	6.31431417139155	4.61593745908244	4.58780008394741	3.81671664123096	1.92174087394567	4.74130320369667	3.68981203958782
NCLN	2.05917426851848	1.93628664237069	2.13692882579906	2.21347117796962	1.70157274984221	2.02777849405375	1.50138481925971	1.51680539095477	1.59234470688491	1.44036883199495	1.49007999713165	1.44994544471833
NCOA1	3.05892820789395	3.84480257626213	3.95442842048104	3.03404434239302	3.057178683259	3.94485009216643	2.07099966691406	2.28304531547342	2.78180404469499	3.29011894758846	4.6899035659808	3.38165441898137
NCOA2	2.07473362569421	3.27358097036628	2.99070191619284	2.77195915266117	3.61348581900467	3.15121793292497	4.48852133566791	4.09882884915664	3.14875716706553	5.52898615941256	9.63877320304793	8.48990372657736
NCOA3	1.91499351431797	3.70143113157223	2.73046959573094	2.4406019277783	3.42735424974985	2.80095458954549	3.68029639118576	3.68084837275084	2.523061637146	2.10385008958401	2.44822735756183	2.27292252897941
NCOA4	7.67413080905557	6.84881764763703	6.72485220624097	6.6956322089347	7.48998607604904	6.85537286119508	9.79471949388732	10.2138203792275	11.1760702029316	33.1977582068137	32.542571998668	24.1486355145101
NCOA6	2.11467082601369	2.33181037311679	2.35103431423904	2.30299771969822	2.06965892699469	2.39677162020349	2.06368306786947	2.04170522963798	1.9973294240863	2.28742950004226	3.48620610383154	2.8869871466819
NCOR1	3.64141130453643	3.85925921747536	4.23319940300427	3.52329292869213	3.70998872466839	4.27235224955507	3.3165902379805	3.27763715654188	3.83209775353734	2.48743730031499	2.35259019687138	2.4132526729005
NCOR2	3.39366698198553	2.56130955844902	2.71777878667154	2.93987612527071	1.96894770849777	2.7472885551989	1.81632840698417	1.79462921470159	2.17733910383664	2.08309145294554	1.24491935272557	1.39348019938981
NCR1	1.01783075368626	0.961843544792263	1.03604705206917	1.00571422508585	0.974683661430038	1.04493717200622	1.05586476706894	1.07595243086808	1.05144582272334	1.05581850537184	1.16915977196566	1.15110300692903
NCR2	1.07661439169713	1.06089281658571	1.0873656358994	1.25243101174529	1.12624443327803	1.12203327399252	1.13125537183002	1.07769474701853	1.08702705514184	1.09544625648546	1.09821783095215	1.09925985577269
NCR3	1.11256158048163	1.0393951897302	1.2383600532309	1.01365156560435	1.08182312911967	1.09829387603408	1.10586326140324	1.05119375405078	1.11570206816544	1.13236040180328	1.11242407164432	1.18101039586895
NCS1	2.04711152766102	1.98438321676585	2.14443894524156	2.14409201682694	1.93996234428761	2.22377545107326	1.86248575130937	1.8495237802853	1.7959431048883	2.04170284420948	1.48406359266708	1.61433347988224
NCSTN	2.24150133893726	1.82875848232466	2.21792134163004	2.21181130688884	1.85588504676836	2.19336574181858	1.70883000801	1.68638683679462	2.09445870565726	1.79518960691285	1.48553313910009	1.61491990671502
NDC1	3.83777907378865	3.93386476300808	3.73573743524142	3.69959516609442	3.73243595628071	3.67656808593126	3.1777892383254	3.3071778743592	3.10911608725359	2.10367373215301	1.53459628485746	1.68313718480438
NDC80	2.29013121568674	2.71922786363707	2.53389791051386	2.5756948955432	2.59672493568789	2.50721313339432	3.38355701381333	3.63171785516065	3.34811931359329	2.30433405620207	1.16822527352661	1.62865300983156
NDE1	2.05364815161043	2.45766298381703	2.19884729743429	1.94411693266017	2.45306757742051	2.21861924837724	2.60877291463629	2.73154364651949	2.37610329458578	2.33564206805074	1.5453944055371	2.02276760870563
NDEL1	2.56406745179832	2.92532842099517	2.9659034937084	2.69270136994882	2.97096124163562	2.80165423180828	4.04414534066324	3.89483952459574	4.03335214205139	7.07158002700075	10.6239365796708	8.53306921694406
NDFIP1	2.62138287915191	3.47621734889474	2.88319340277324	2.9490391643126	3.60744835807966	3.3595900069052	4.57028151913001	4.69025759638944	4.16756735249878	2.97189238978884	3.75636102869265	2.86517151139952
NDN	1.45198330668556	1.48447685878441	1.71080179806271	1.19021957259536	1.37974046010307	1.60909527537218	1.02900316928574	1.0359019470898	0.973354017381356	0.926223161591236	0.956184277074389	0.914010885419504
NDNF	1.05070985584389	0.91424248686901	0.917008618921626	0.940736252788318	0.91655946405766	0.928824510822834	0.9451921590069	0.974595986106611	0.960374306398918	1.04516614770832	0.93487504391696	0.981260123894902
