Var1	CD34neg_CD71lo_GlyApos	CD34neg_CD71neg_GlyApos	CD34neg_CD71pos_GlyAneg	CD34neg_CD71pos_GlyApos	CD34pos_CD71pos_GlyAneg
GK2	4.13045915284103	4.23779687177562	4.13927048503731	4.1885143439413	4.00379803776719
GK3P	4.72669578639597	4.8834974825165	4.80644093034987	4.76033008439808	4.62426171430075
GLP2R	4.59470071492461	4.81126207216265	4.62143843199691	4.6694208939902	4.41137793035982
GNG4	5.29837504522259	5.18448169970545	5.08478784387778	5.15412819154617	5.201812743859
GPAA1	7.68264171776189	7.72156262402497	7.65894036240529	8.01487517325972	7.52901394182243
GPR17	4.94423922859734	4.93253941118231	4.80293048100196	4.73029395452553	4.60299957962167
GSTM4	6.48997664753213	6.77826980358089	6.4321955789526	6.45449076853043	6.53689299463788
HACD1	8.49720609949567	8.16889754297071	8.61571990699879	8.71996281170535	9.07508784041749
HADHA	10.1735646875041	10.1691565006861	10.1932941515057	10.4958715940174	9.83480058036007
HMGB2	11.3499508103019	11.6600894890345	11.3638858706078	11.33005792645	10.9436544708496
HOXD1	4.8832902710543	4.94661148564365	4.81127900486936	4.87690293790676	4.53861000982478
IFT88	6.66666040141758	6.82076775410858	6.78869845649386	6.90078033999257	7.33070502219223
INPP5D	8.94828848759721	8.95886224414011	8.79847435255205	9.43089037042634	8.60331054777672
KAT6B	8.03348144467243	8.16776084781019	8.66432043501037	8.50145281456953	9.13917741758982
KCNN4	7.34262031499631	7.22273783050045	7.10437192476397	7.49389849329313	7.5477332848507
KIAA0895	5.08066363058089	5.10148972865833	5.18411927757507	4.98693903592473	5.04781677476387
KIF3B	6.79053804120165	7.01528241156754	6.61814546501953	7.02232938251667	6.5044433064026
KIR2DS4	5.00815066281672	4.94931444882778	4.70778886421709	4.84450566580621	4.71418464306628
KMO	4.66772618598433	4.74000950337722	4.89390077119525	4.79605203471883	4.60131468707189
KRT81	6.36335111465182	6.43582457292788	5.76588232158486	6.13814234440022	5.98936258727844
LAMA5	6.31620677840126	6.29693611264491	6.2347862075839	6.5420395998289	6.09436027397902
LGSN	4.07394054822255	3.89076136636805	3.96970867242885	3.92728136714644	3.98961347934732
LOC101927181	5.95739411714594	6.3369450600535	5.74903713295489	6.03818351858992	5.70551426828278
MAGIX	5.41571154117863	5.32964093202604	5.38213581352162	5.32264892044834	5.62785511472563
MAN2C1	6.60270332810837	6.48318754932301	6.76455270257282	6.58512149175576	6.49058544581233
MCM10	8.39814238395725	8.20141786572241	8.086301014248	8.36699104762901	7.95183536946153
MPDU1	6.39171803946148	6.59458272771641	6.31529090686864	6.65473286781067	6.00393018599585
MUC6	5.9646495296301	5.7893467170007	5.70903913245239	5.64837939996965	5.77928210989705
NDUFA3	7.38282861829595	7.32385426431743	7.23016323675659	8.07693116852245	6.89867151349078
NEUROD1	4.56715430030353	4.60379425169806	4.47392703815878	4.65530930849054	4.7193597457885
NOV	4.91965605146711	4.9497863987758	5.01925097614344	4.88492011928991	4.82575612977864
NRG2	5.35604020219506	5.05042318043923	5.10423861571213	4.95383035461188	5.11517928981307
NTS	4.466876221219	4.54865245420845	4.46050793461885	4.46979244788246	4.40238683469791
OBSL1	5.39724862655155	5.44824984645062	5.32678843376643	5.61053269334604	5.45817809052271
ONECUT1	4.62621996895421	4.62676330144948	4.34505684801709	4.67215184581386	4.56635236631201
P2RY2	5.20277588184859	5.41629700449624	5.2892989699951	5.41904889317083	5.1158218460108
P3H2	4.71572218639407	4.69669304653326	4.63411722384755	4.6675876285332	4.45925678472653
PAX5	5.49659426449096	5.58795150157038	5.61076438220354	5.42743355923496	5.36144953537613
PCLO	4.61765314760256	4.56695315138928	4.60884405625863	4.70892694288448	4.62590916924292
PCOLCE2	4.75995104828119	4.95513518379078	4.79958254535692	4.7358496957553	4.54892799144686
PLAC4	4.65297622386685	4.60856698391645	4.52094756694439	4.54145422493223	4.5811238008641
PML	7.01612111378038	7.36281528516067	6.86375361248644	7.03311737676116	6.80571436102267
POLR2C	7.86185307461054	7.70317466979567	7.80704238079073	7.81958134174336	7.79830071234632
POU2F3	4.91417865595264	5.07096144857797	4.80801093344858	4.88610420187118	4.74966087219945
PPARA	7.38817838424635	6.97925059529695	6.72183546984807	7.02707051418113	6.77967222852972
PRKAR1B	6.21529478449142	6.13267862354315	6.06494260043647	6.06173274900454	5.85045770253972
PRPS1	7.81789981394252	7.86611090787167	8.50355980626194	8.04918450875482	8.00524292293979
PRRX2	5.83436866092929	5.84289804450917	5.60122132933928	5.72480200599149	5.62320212349362
PSPC1	7.40447322203944	7.35140372400237	7.39112628612547	7.33760331083888	7.20107428165385
RAB3D	6.23962703715304	6.48108720373387	6.09221304857063	6.32755521238709	6.05903214134254
RGSL1	4.33544415006306	4.4586094258626	4.40094462807592	4.50615782780856	4.30482870156608
RRAS	6.35970050639085	6.14052287438346	6.30297990881562	6.23724590994229	6.14404808307498
SBSPON	5.1863291593722	5.1676302019363	5.1638191019477	5.17128601086387	5.16720665887998
SCG2	4.19198500901394	4.31327616742977	4.26332822225056	4.34278321220604	4.20626682211778
SELPLG	7.16445706685369	7.76993439792204	7.91793600702102	7.50422927197281	7.58707265356714
SGK2	5.04275368873047	5.0678861837207	5.06440031459533	5.18513859133497	4.9813570000661
SHC2	5.51249780978216	5.69797681115106	5.42292725401306	5.64577247300927	5.28281160756222
SLC22A2	4.58101539997493	4.61612132478296	4.51791436760011	4.58561167937154	4.60325810232077
SLC29A2	5.86201475039444	5.89819622366143	5.77752617979547	5.82189153515242	5.84026392386484
SLC2A6	5.89726752743238	5.76428748859282	5.7018138072893	5.4903026279105	5.71481937999762
SLC41A3	6.27310116322884	6.15301569939168	6.24063100202731	6.13161631346122	6.40604763326397
SNX27	7.58339021998445	7.66809064996495	7.78821271347849	7.63810577590772	7.51134118359111
SREBF2	7.6111454219015	7.57742108255412	7.71636427199317	7.7159392866689	7.43512661211871
STARD13	5.0271362772697	5.19945444075253	5.09429095122398	5.15771522048009	4.99522257820546
STX2	8.72455862415146	9.1557265827031	8.54231662873177	8.97925104595535	8.22089997592069
STXBP3	9.89346073238745	9.94955845425716	9.82675370047034	10.2176354800217	9.85781325329983
