	DBA_A	DBA_B	DBA_C	Control_A	Control_B	Control_C	Control_D	Control_E	Control_F
ANGPTL4	0.956870458958412	0.98612331942126	0.967831045743626	0.977991285840691	0.955187846570621	0.95101959069581	0.956774206765135	0.950609475786642	1.0026750601904
ANGPTL7	0.881372211798104	0.837421780463919	0.866890749468552	0.854361824108291	0.852383973054752	0.855378134056754	0.842677530514456	0.880417395386507	0.872026990581469
ANGPTL8	0.979792355823381	0.921672036033966	0.986121746547261	0.953667315031458	0.922041176108006	0.918585066936132	0.972167294783597	0.925180439866812	0.94001299816304
ANK1	2.98358893194946	2.91338944067955	2.40962951161384	3.17466237103107	2.40667732678288	1.90260388022936	3.34983309566863	2.21537298492163	3.06339956408521
ANK2	1.00561463663958	0.968642820037147	0.997437266262453	0.970548604307536	0.93328687590147	0.921355601909987	0.951054471622139	0.969439130021918	0.947103830321516
ANK3	1.09953785680521	1.07551955719005	1.16863955808512	1.04449598332737	1.09668519009512	1.06577419769878	1.02752829286838	1.0324829531883	1.14621903229193
ANKEF1	1.23405080746993	1.23612821540758	1.29821391149807	1.24705576973695	1.25866357281859	1.24097109783777	1.29599273022593	1.28910558297306	1.32882463476696
ANKFY1	0.979338201514077	0.967286220511119	0.974082209974267	1.04807754947944	0.995625504109314	0.983892747400767	1.03100477342539	0.997162019587813	1.00979252058411
ANKH	1.03636991352581	0.929766980680205	0.909255380049513	1.22109713155053	1.05066391813871	1.02865951428031	1.13133905198984	0.9187409967301	0.982285729807602
ANKLE2	2.03809378951082	1.64978276727279	2.06813990401616	2.0521922603505	2.10084095223507	1.869317579185	1.7613312371433	1.74803726400506	2.05630444504018
ANKMY1	1.20688125060382	1.0713123343149	1.14679595950498	1.13093331452554	1.14058917138283	1.11583362866109	1.16131795403676	1.11774527713349	1.0767326938447
ANKMY2	2.77008919127736	2.55230645247374	2.94159963641132	2.33508954616018	2.76033084918379	2.69379585842126	2.53985390758623	2.33492363519198	2.82010921119606
ANKRA2	2.19947842035349	1.86003862472459	2.15034712625167	2.36746778847646	2.17913071146312	1.95037988217197	2.2987897334247	1.91990226119127	2.0311565956994
ANKRD1	0.871007968923901	0.861256566969176	0.860977073606469	0.89480928048069	0.863198849924592	0.900070566605293	0.881209938379293	0.869334935542044	0.879245236509072
ANKRD10	2.40145255454281	2.18724769844698	2.53243636748077	2.32445189254506	2.24482664943595	2.405135481344	2.39124512751592	2.24668489612096	2.47606825341221
