	Ery_C1_cells	Ery_C2_cells	Ery_C3_cells	Ery_C4_cells	Ery_C5_cells	Ery_C6_cells	Ery_D1_cells	Ery_D2_cells	Ery_D3_cells
RIOK2	1.97252498373276	1.95749753996107	2.01455462740477	2.03162606565741	1.3222327412999	1.73098506443842	2.04742145613278	2.00968672467035	1.76559757784688
RIOK3	3.74925645373913	3.11613836750275	2.64873913036972	2.95350415864986	2.95595049673057	2.84327374263814	3.37209583124949	2.14552900786681	2.70358327057225
RIPK1	1.18663852953057	1.17683030480973	1.17258075914717	1.25264844113448	1.042267784893	1.10512531911754	1.25977770021378	1.13766130147028	1.07612806094786
RIPK2	1.90653833819875	2.40281633100311	2.50954017300892	2.6412406102887	2.22530798776299	2.03537496613324	2.25967916900318	2.44691964375993	2.58208426554558
RIPK4	1.06600392658716	1.03236004782987	1.02189028972882	1.04054733426819	1.06783693564106	1.03703493017604	1.13715930115893	1.07253277293157	1.1179969541831
RIPPLY3	0.99151709309851	0.967874264315149	0.998011739552849	0.967623478142673	0.978624656192902	0.983078192233512	0.916619953564065	1.01812210668863	0.9861416654995
RIT1	1.45827454902505	1.26391833473226	1.36673050982546	1.52429629267027	1.08296900105281	1.23533632782005	1.17284595929899	1.52736365958078	1.191879637725
RIT2	0.949289799199207	0.994792347329495	0.995941959087607	0.937656308297535	0.890031792853423	1.06363294403885	0.996946770958968	0.922782323310578	0.953014886174467
RITA1	1.4324685204051	1.56729753898293	1.57838885024767	1.5689577262821	1.37341699712472	1.47733023104386	1.67439315792145	1.66918448835841	1.57646768467096
RLBP1	0.951104427215738	0.902860982081114	0.877250871580844	0.883605728997589	0.890286994967493	0.878803961173158	0.922488703746607	0.902876930088081	0.927039352891173
RLF	1.58156997853859	1.71484841266536	1.40463808942176	1.9687742024549	1.44066560779274	1.47189440907429	1.8405615429551	1.76466506063902	1.57375571825641
RLN1	0.972622114765664	0.963864168418836	0.914423281122702	0.92490943424789	0.903087770650045	0.994791129913457	0.955973643152693	0.957532244786705	1.01161189696376
